County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,Technical and Vocational Training (TVET),University,Adult Basic Education,Madrasa/ Duksi,None,Don't Know,Not Stated
KENYA,"36,212,477","1,921,980","18,028,318","8,881,449","2,557,553","1,252,716","16,802",652,"3,378,876","115,094","59,037"
Rural,"24,039,655","1,473,757","13,457,699","5,048,675","1,104,449","404,498","13,841",236,"2,432,169","68,402","35,929"
Urban,"12,172,822","448,223","4,570,619","3,832,774","1,453,104","848,218","2,961",416,"946,707","46,692","23,108"
Male,"18,127,920","966,824","8,826,421","4,526,657","1,248,894","733,175","8,812",349,"1,722,260","62,115","32,413"
Female,"18,083,556","955,104","9,201,398","4,354,544","1,308,604","519,498","7,988",302,"1,656,528","52,973","26,617"
Intersex,"1,001",52,499,248,55,43,2,1,88,6,7
MOMBASA,"990,259","55,316","415,805","281,897","101,951","39,864",419,78,"88,138","5,034","1,757"
Male,"507,180","27,062","204,322","153,058","51,168","23,574",203,36,"44,263","2,546",948
Female,"483,066","28,254","211,476","128,837","50,782","16,287",216,42,"43,875","2,488",809
CHANGAMWE,"113,346","3,983","46,496","36,952","13,007","3,434",21,3,"8,913",367,170
Male,"59,561","2,038","23,169","20,311","7,084","2,158",12,2,"4,474",211,102
Female,"53,785","1,945","23,327","16,641","5,923","1,276",9,1,"4,439",156,68
JOMVU,"135,585","8,507","59,788","38,086","12,322","3,483",48,3,"12,923",300,125
Male,"70,085","4,168","29,621","20,714","6,540","2,240",30,1,"6,515",184,72
Female,"65,497","4,339","30,165","17,372","5,781","1,243",18,2,"6,408",116,53
KISAUNI,"236,303","13,434","103,042","61,686","25,238","8,489",90,12,"22,877",941,494
Male,"120,288","6,613","50,944","32,834","12,401","5,102",41,5,"11,591",491,266
Female,"116,013","6,821","52,097","28,852","12,837","3,386",49,7,"11,286",450,228
LIKONI,"203,522","13,600","90,935","58,372","15,612","3,843",137,20,"20,164",547,292
Male,"105,103","6,503","44,530","32,698","8,323","2,498",66,10,"10,041",293,141
Female,"98,417","7,097","46,404","25,673","7,289","1,345",71,10,"10,123",254,151
MVITA,"119,741","4,434","44,619","35,004","14,936","9,442",66,32,"8,712","2,162",334
Male,"59,338","2,107","20,928","18,646","6,850","5,258",30,13,"4,320","1,001",185
Female,"60,402","2,327","23,690","16,358","8,086","4,184",36,19,"4,392","1,161",149
NYALI,"181,762","11,358","70,925","51,797","20,836","11,173",57,8,"14,549",717,342
Male,"92,805","5,633","35,130","27,855","9,970","6,318",24,5,"7,322",366,182
Female,"88,952","5,725","35,793","23,941","10,866","4,853",33,3,"7,227",351,160
KWALE,"585,770","42,445","342,513","84,543","22,142","6,463",332,39,"84,380","1,871","1,042"
Male,"304,149","22,028","173,915","47,246","11,630","4,174",172,26,"43,305","1,045",608
Female,"281,610","20,414","168,593","37,297","10,511","2,289",160,13,"41,073",826,434
KINANGO,"58,568","4,621","36,161","5,334","1,449",360,44,,"10,417",140,42
Male,"30,470","2,459","18,420","3,006",858,257,19,,"5,352",75,24
Female,"28,097","2,161","17,741","2,328",591,103,25,,"5,065",65,18
LUNGA LUNGA,"122,221","11,355","74,624","12,253","2,569",632,126,4,"19,706",442,510
Male,"63,937","5,866","38,249","7,116","1,518",468,74,3,"10,085",247,311
Female,"58,283","5,488","36,375","5,137","1,051",164,52,1,"9,621",195,199
MATUGA,"139,714","8,479","82,285","22,533","5,625","1,868",70,5,"18,317",418,114
Male,"72,298","4,480","41,392","12,500","2,878","1,197",34,3,"9,511",237,66
Female,"67,414","3,999","40,891","10,033","2,747",671,36,2,"8,806",181,48
MSAMBWENI,"136,026","7,335","71,110","30,232","9,154","2,826",38,26,"14,463",603,239
Male,"70,023","3,747","35,762","16,555","4,455","1,692",18,17,"7,302",338,137
Female,"66,000","3,587","35,347","13,677","4,698","1,134",20,9,"7,161",265,102
SAMBURU,"129,241","10,655","78,333","14,191","3,345",777,54,4,"21,477",268,137
Male,"67,421","5,476","40,092","8,069","1,921",560,27,3,"11,055",148,70
Female,"61,816","5,179","38,239","6,122","1,424",217,27,1,"10,420",120,67
KILIFI,"1,063,750","83,453","599,327","177,711","46,722","15,770",781,13,"135,660","3,071","1,242"
Male,"549,374","42,321","301,787","99,563","24,015","9,782",405,7,"69,143","1,673",678
Female,"514,362","41,132","297,531","78,148","22,706","5,988",376,6,"66,515","1,397",563
CHONYI,"44,897","3,933","26,684","6,500","1,196",299,44,,"6,157",61,23
Male,"23,263","1,972","13,335","3,768",717,212,27,,"3,181",36,15
Female,"21,633","1,961","13,348","2,732",479,87,17,,"2,976",25,8
GANZE,"95,274","9,143","58,252","9,644","2,138",565,153,1,"15,147",141,90
Male,"48,889","4,749","29,379","5,286","1,208",407,78,1,"7,671",69,41
Female,"46,383","4,394","28,871","4,358",930,158,75,,"7,476",72,49
KALOLENI,"134,645","11,325","78,082","19,556","5,554","1,511",113,1,"17,996",317,190
Male,"69,960","5,912","39,605","10,914","2,978",965,56,1,"9,256",179,94
Female,"64,681","5,413","38,476","8,642","2,576",546,57,,"8,738",138,95
KAUMA,"16,076","1,615","9,683","2,098",291,78,15,,"2,224",54,18
Male,"8,528",817,"5,000","1,301",170,56,9,,"1,127",36,12
Female,"7,548",798,"4,683",797,121,22,6,,"1,097",18,6
KILIFI NORTH,"138,095","8,070","74,515","25,235","8,260","4,012",25,,"17,400",480,98
Male,"70,668","4,153","36,942","13,840","4,114","2,411",18,,"8,880",259,51
Female,"67,425","3,917","37,572","11,395","4,146","1,601",7,,"8,520",220,47
KILIFI SOUTH,"158,925","10,757","80,815","35,112","9,754","3,416",83,3,"18,312",452,221
Male,"81,501","5,373","40,180","19,282","4,831","2,031",35,2,"9,409",231,127
Female,"77,423","5,384","40,635","15,830","4,922","1,385",48,1,"8,903",221,94
MAGARINI,"134,107","13,879","82,026","15,867","2,984",707,175,1,"18,078",294,96
Male,"70,300","6,987","42,083","9,531","1,744",509,98,1,"9,126",167,54
Female,"63,807","6,892","39,943","6,336","1,240",198,77,,"8,952",127,42
MALINDI,"252,086","17,738","137,812","47,716","12,355","4,320",143,4,"30,612",973,413
Male,"129,812","8,809","69,535","26,621","5,926","2,632",68,1,"15,472",521,227
Female,"122,270","8,929","68,273","21,095","6,429","1,688",75,3,"15,140",452,186
RABAI,"89,645","6,993","51,458","15,983","4,190",862,30,3,"9,734",299,93
Male,"46,453","3,549","25,728","9,020","2,327",559,16,1,"5,021",175,57
Female,"43,192","3,444","25,730","6,963","1,863",303,14,2,"4,713",124,36
TANA RIVER,"158,000","13,849","84,250","25,033","5,354","1,432",163,13,"26,420","1,191",295
Male,"84,380","7,134","42,419","15,692","3,265","1,043",92,10,"13,896",673,156
Female,"73,620","6,715","41,831","9,341","2,089",389,71,3,"12,524",518,139
TANA DELTA,"60,630","5,722","32,017","9,267","1,933",429,31,6,"10,667",449,109
Male,"32,005","2,866","15,998","5,744","1,206",319,18,4,"5,560",236,54
Female,"28,625","2,856","16,019","3,523",727,110,13,2,"5,107",213,55
TANA NORTH,"46,803","4,521","24,636","8,035","1,423",416,88,1,"7,182",422,79
Male,"26,331","2,468","13,248","5,234",857,304,48,1,"3,866",256,49
Female,"20,472","2,053","11,388","2,801",566,112,40,,"3,316",166,30
TANA RIVER,"50,567","3,606","27,597","7,731","1,998",587,44,6,"8,571",320,107
Male,"26,044","1,800","13,173","4,714","1,202",420,26,5,"4,470",181,53
Female,"24,523","1,806","14,424","3,017",796,167,18,1,"4,101",139,54
LAMU,"103,880","6,942","58,049","20,178","4,543","1,638",32,10,"11,218","1,142",128
Male,"56,751","3,485","29,941","12,947","2,766","1,151",21,6,"5,768",594,72
Female,"47,126","3,457","28,105","7,231","1,777",487,11,4,"5,450",548,56
LAMU EAST,"15,810","1,394","9,202","2,444",501,109,4,4,"1,830",306,16
Male,"8,629",715,"4,680","1,721",337,86,3,2,914,163,8
Female,"7,181",679,"4,522",723,164,23,1,2,916,143,8
LAMU WEST,"88,070","5,548","48,847","17,734","4,042","1,529",28,6,"9,388",836,112
Male,"48,122","2,770","25,261","11,226","2,429","1,065",18,4,"4,854",431,64
Female,"39,945","2,778","23,583","6,508","1,613",464,10,2,"4,534",405,48
TAITA/TAVETA,"283,179","14,129","155,653","65,470","20,051","5,341",49,3,"21,163","1,111",209
Male,"146,247","7,132","78,795","34,849","10,633","3,381",26,1,"10,732",591,107
Female,"136,927","6,997","76,855","30,620","9,418","1,960",23,2,"10,430",520,102
MWATATE,"69,170","3,180","39,371","15,729","4,482","1,069",9,3,"5,075",216,36
Male,"35,947","1,634","19,960","8,525","2,475",649,6,1,"2,565",114,18
Female,"33,222","1,546","19,411","7,204","2,007",420,3,2,"2,509",102,18
TAITA,"48,089","1,781","26,088","12,173","3,463",848,7,,"3,435",254,40
Male,"24,894",899,"13,289","6,456","1,858",541,4,,"1,702",125,20
Female,"23,195",882,"12,799","5,717","1,605",307,3,,"1,733",129,20
TAVETA,"73,195","4,248","43,599","14,343","3,708","1,164",15,,"5,839",225,54
Male,"38,171","2,159","22,427","7,769","1,925",766,5,,"2,969",126,25
Female,"35,024","2,089","21,172","6,574","1,783",398,10,,"2,870",99,29
VOI,"92,725","4,920","46,595","23,225","8,398","2,260",18,,"6,814",416,79
Male,"47,235","2,440","23,119","12,099","4,375","1,425",11,,"3,496",226,44
Female,"45,486","2,480","23,473","11,125","4,023",835,7,,"3,318",190,35
GARISSA,"165,797","8,850","80,185","35,556","6,915","3,292",633,108,"21,560","6,248","2,450"
Male,"98,291","4,811","46,077","23,623","4,517","2,487",373,57,"11,370","3,484","1,492"
Female,"67,501","4,039","34,106","11,931","2,398",804,260,51,"10,190","2,764",958
BALAMBALA,"3,535",135,"1,710","1,243",74,18,27,1,322,5,
Male,"2,391",74,"1,066",988,50,13,20,,177,3,
Female,"1,144",61,644,255,24,5,7,1,145,2,
DADAAB,"25,675","1,327","13,959","5,233",769,343,131,20,"2,540",749,604
Male,"15,538",754,"8,031","3,665",570,265,75,9,"1,364",441,364
Female,"10,137",573,"5,928","1,568",199,78,56,11,"1,176",308,240
FAFI,"18,945","1,117","9,964","4,033",360,91,89,5,"1,845","1,313",128
Male,"11,187",588,"5,632","2,795",277,71,53,3,969,718,81
Female,"7,756",529,"4,331","1,237",83,20,36,2,876,595,47
GARISSA,"56,947","2,708","25,357","13,839","3,922","2,216",79,39,"6,195","1,842",750
Male,"32,463","1,425","13,966","8,504","2,336","1,635",45,22,"3,162",951,417
Female,"24,481","1,283","11,390","5,334","1,586",580,34,17,"3,033",891,333
HULUGHO,"22,386","1,155","11,051","3,554",377,122,100,16,"5,023",743,245
Male,"13,803",662,"6,876","2,437",277,101,59,9,"2,763",457,162
Female,"8,583",493,"4,175","1,117",100,21,41,7,"2,260",286,83
IJARA,"33,072","2,057","15,237","6,782","1,303",455,171,26,"4,906","1,463",672
Male,"20,104","1,155","9,008","4,651",926,367,101,13,"2,598",847,438
Female,"12,968",902,"6,229","2,131",377,88,70,13,"2,308",616,234
LAGDERA,"5,237",351,"2,907",872,110,47,36,1,729,133,51
Male,"2,805",153,"1,498",583,81,35,20,1,337,67,30
Female,"2,432",198,"1,409",289,29,12,16,,392,66,21
WAJIR,"151,956","9,832","81,117","28,081","5,567","2,128",403,39,"21,137","3,013",639
Male,"88,325","5,237","45,553","18,278","3,911","1,686",234,23,"11,228","1,745",430
Female,"63,627","4,595","35,562","9,803","1,656",441,169,16,"9,908","1,268",209
BUNA,"6,738",727,"3,241","1,227",194,67,31,1,808,398,44
Male,"3,843",375,"1,806",805,128,58,17,1,435,199,19
Female,"2,895",352,"1,435",422,66,9,14,,373,199,25
ELDAS,"15,538",963,"8,956","2,304",379,88,64,6,"2,466",221,91
Male,"8,477",458,"4,737","1,519",266,65,39,2,"1,213",116,62
Female,"7,061",505,"4,219",785,113,23,25,4,"1,253",105,29
HABASWEIN,"39,532","2,111","19,814","7,254","1,418",438,80,13,"6,966","1,310",128
Male,"23,862","1,162","11,710","4,730","1,015",360,42,8,"3,941",803,91
Female,"15,670",949,"8,104","2,524",403,78,38,5,"3,025",507,37
TARBAJ,"7,220",448,"4,376","1,284",162,52,17,1,827,48,5
Male,"3,749",213,"2,162",789,128,38,8,,389,20,2
Female,"3,470",235,"2,213",495,34,14,9,1,438,28,3
WAJIR EAST,"33,348","1,686","16,970","7,974","1,994",997,57,12,"2,870",555,233
Male,"19,381",921,"9,277","5,030","1,357",792,35,8,"1,485",318,158
Female,"13,966",765,"7,693","2,944",637,204,22,4,"1,385",237,75
WAJIR NORTH,"10,871",831,"5,946","1,709",384,157,27,,"1,682",121,14
Male,"6,104",428,"3,212","1,134",277,134,20,,819,69,11
Female,"4,767",403,"2,734",575,107,23,7,,863,52,3
WAJIR SOUTH,"17,774","1,240","10,338","2,910",452,106,74,4,"2,552",41,57
Male,"10,950",719,"6,268","2,013",327,87,45,3,"1,425",26,37
Female,"6,823",521,"4,070",897,125,19,29,1,"1,126",15,20
WAJIR WEST,"20,935","1,826","11,476","3,419",584,223,53,2,"2,966",319,67
Male,"11,959",961,"6,381","2,258",413,152,28,1,"1,521",194,50
Female,"8,975",865,"5,094","1,161",171,71,25,1,"1,445",125,17
MANDERA,"197,490","14,953","106,776","35,659","5,592","2,183",536,64,"26,231","4,298","1,198"
Male,"109,059","7,518","57,003","22,983","3,948","1,765",280,34,"12,669","2,193",666
Female,"88,428","7,435","49,771","12,675","1,644",418,256,30,"13,562","2,105",532
MANDERA WEST,"24,818","1,905","13,844","3,387",481,175,55,6,"4,653",244,68
Male,"13,284",968,"7,258","2,170",352,152,28,4,"2,200",119,33
Female,"11,534",937,"6,586","1,217",129,23,27,2,"2,453",125,35
BANISA,"22,704","2,524","11,774","3,007",604,116,142,3,"4,136",273,125
Male,"13,086","1,330","6,734","2,042",439,96,69,2,"2,132",168,74
Female,"9,617","1,194","5,039",965,165,20,73,1,"2,004",105,51
KOTULO,"18,807","1,356","10,283","3,284",567,170,29,8,"2,577",463,70
Male,"10,129",646,"5,347","2,122",413,137,15,3,"1,189",220,37
Female,"8,677",710,"4,935","1,162",154,33,14,5,"1,388",243,33
LAFEY,"13,505",963,"6,781","2,819",264,88,94,18,"1,768",556,154
Male,"6,945",463,"3,288","1,679",181,62,58,10,816,307,81
Female,"6,560",500,"3,493","1,140",83,26,36,8,952,249,73
MANDERA CENTRAL,"40,307","3,147","21,812","6,711","1,067",283,80,14,"5,223","1,530",440
Male,"20,137","1,394","10,487","4,063",741,228,39,8,"2,239",707,231
Female,"20,169","1,753","11,325","2,647",326,55,41,6,"2,984",823,209
MANDERA EAST,"48,557","3,180","25,040","11,445","1,943","1,123",75,8,"4,534",972,237
Male,"28,744","1,696","14,063","7,672","1,322",896,45,4,"2,387",511,148
Female,"19,813","1,484","10,977","3,773",621,227,30,4,"2,147",461,89
MANDERA NORTH,"28,792","1,878","17,242","5,006",666,228,61,7,"3,340",260,104
Male,"16,734","1,021","9,826","3,235",500,194,26,3,"1,706",161,62
Female,"12,058",857,"7,416","1,771",166,34,35,4,"1,634",99,42
MARSABIT,"146,569","11,626","76,626","26,097","6,340","3,746",153,9,"20,702",860,410
Male,"78,922","5,840","39,419","16,022","3,746","2,744",93,4,"10,336",490,228
Female,"67,643","5,785","37,205","10,074","2,594","1,002",60,5,"10,366",370,182
LOIYANGALANI,"8,271",785,"4,396","1,207",328,141,13,,"1,374",15,12
Male,"4,155",349,"2,047",777,220,118,5,,623,13,3
Female,"4,115",435,"2,349",430,108,23,8,,751,2,9
MARSABIT CENTRAL,"43,011","3,226","21,631","8,704","2,472","1,798",26,5,"4,922",171,56
Male,"22,802","1,650","11,006","4,967","1,286","1,254",14,3,"2,488",103,31
Female,"20,207","1,576","10,624","3,736","1,186",544,12,2,"2,434",68,25
MARSABIT NORTH,"12,276","1,450","6,346","1,813",499,240,22,,"1,853",25,28
Male,"6,375",720,"3,091","1,096",306,198,12,,913,16,23
Female,"5,901",730,"3,255",717,193,42,10,,940,9,5
MARSABIT SOUTH,"14,999","1,033","7,758","2,646",688,357,18,,"2,423",47,29
Male,"7,702",500,"3,605","1,708",459,285,8,,"1,098",21,18
Female,"7,297",533,"4,153",938,229,72,10,,"1,325",26,11
MOYALE,"43,034","3,167","23,378","7,477","1,340",837,27,4,"6,208",542,54
Male,"24,024","1,620","12,705","4,726",799,597,17,1,"3,228",294,37
Female,"19,010","1,547","10,673","2,751",541,240,10,3,"2,980",248,17
NORTH HORR,"8,597",708,"4,092","1,608",485,161,18,,"1,296",33,196
Male,"4,886",357,"2,238","1,054",321,121,15,,658,24,98
Female,"3,710",351,"1,853",554,164,40,3,,638,9,98
SOLOLO,"16,381","1,257","9,025","2,642",528,212,29,,"2,626",27,35
Male,"8,978",644,"4,727","1,694",355,171,22,,"1,328",19,18
Female,"7,403",613,"4,298",948,173,41,7,,"1,298",8,17
ISIOLO,"129,220","6,956","64,634","28,532","7,110","3,378",79,11,"17,659",721,140
Male,"68,403","3,509","32,520","16,689","3,746","2,313",45,5,"9,030",461,85
Female,"60,816","3,447","32,114","11,843","3,364","1,065",34,6,"8,628",260,55
GARBATULLA,"34,291","2,345","19,014","6,124",786,336,42,3,"5,261",341,39
Male,"18,837","1,197","10,015","3,893",507,261,24,1,"2,701",214,24
Female,"15,454","1,148","8,999","2,231",279,75,18,2,"2,560",127,15
ISIOLO,"77,157","3,555","35,917","19,451","5,737","2,869",33,7,"9,228",284,76
Male,"40,237","1,807","17,768","10,951","2,840","1,908",19,3,"4,726",171,44
Female,"36,920","1,748","18,149","8,500","2,897",961,14,4,"4,502",113,32
MERTI,"17,772","1,056","9,703","2,957",587,173,4,1,"3,170",96,25
Male,"9,329",505,"4,737","1,845",399,144,2,1,"1,603",76,17
Female,"8,442",551,"4,966","1,112",188,29,2,,"1,566",20,8
MERU,"1,216,440","71,556","692,007","249,032","69,276","27,083",590,4,"100,888","3,914","2,090"
Male,"610,726","37,142","348,390","121,371","32,703","15,737",312,2,"51,756","2,124","1,189"
Female,"605,685","34,413","343,598","127,656","36,573","11,345",277,2,"49,131","1,789",901
BUURI EAST,"64,905","2,983","36,269","15,698","4,393","1,346",19,2,"3,876",225,94
Male,"32,790","1,557","18,653","7,521","2,119",761,7,,"2,009",110,53
Female,"32,115","1,426","17,616","8,177","2,274",585,12,2,"1,867",115,41
BUURI WEST,"68,643","3,032","37,450","18,627","3,664","1,228",21,1,"4,410",157,53
Male,"34,638","1,582","19,099","9,136","1,778",694,12,1,"2,229",69,38
Female,"34,003","1,450","18,349","9,491","1,886",534,9,,"2,181",88,15
IGEMBE CENTRAL,"159,847","12,820","98,742","22,996","4,980","1,806",114,,"17,676",432,281
Male,"80,629","6,682","49,833","11,276","2,267","1,072",62,,"9,036",234,167
Female,"79,215","6,138","48,907","11,720","2,713",733,52,,"8,640",198,114
IGEMBE NORTH,"113,067","8,870","68,825","16,826","3,994","1,394",113,,"12,309",512,224
Male,"56,380","4,611","34,172","8,111","1,796",884,60,,"6,366",259,121
Female,"56,684","4,259","34,652","8,714","2,198",510,53,,"5,943",252,103
IGEMBE SOUTH,"120,462","8,352","71,398","19,683","5,437","2,100",122,,"12,584",300,486
Male,"59,789","4,392","35,274","9,391","2,446","1,280",70,,"6,495",168,273
Female,"60,668","3,960","36,119","10,292","2,991",820,52,,"6,089",132,213
IMENTI NORTH,"151,474","5,082","70,732","41,880","15,816","7,275",20,1,"10,002",501,165
Male,"75,696","2,601","36,043","20,320","7,194","4,083",6,1,"5,069",284,95
Female,"75,774","2,481","34,687","21,559","8,622","3,192",14,,"4,932",217,70
IMENTI SOUTH,"176,990","9,301","90,648","46,252","13,131","5,213",32,,"11,732",519,162
Male,"89,508","4,845","46,488","22,573","6,281","2,886",16,,"6,069",258,92
Female,"87,477","4,456","44,156","23,679","6,850","2,327",15,,"5,663",261,70
MERU CENTRAL,"113,818","4,560","63,944","26,563","7,786","2,418",52,,"7,896",429,170
Male,"58,082","2,433","33,156","12,926","3,825","1,367",28,,"4,014",238,95
Female,"55,733","2,127","30,787","13,635","3,961","1,051",24,,"3,882",191,75
TIGANIA CENTRAL,"81,247","6,727","51,061","11,861","2,900","1,287",49,,"7,015",256,91
Male,"40,888","3,405","25,529","5,910","1,430",815,29,,"3,567",149,54
Female,"40,359","3,322","25,532","5,951","1,470",472,20,,"3,448",107,37
TIGANIA EAST,"52,912","2,882","32,595","8,916","2,298","1,102",16,,"4,791",161,151
Male,"26,146","1,475","15,789","4,437","1,123",702,8,,"2,440",93,79
Female,"26,764","1,406","16,805","4,479","1,175",400,8,,"2,351",68,72
TIGANIA WEST,"112,439","6,936","70,020","19,527","4,806","1,903",32,,"8,583",419,213
Male,"55,657","3,550","34,082","9,603","2,387","1,186",14,,"4,454",259,122
Female,"56,780","3,386","35,937","9,923","2,419",717,18,,"4,129",160,91
MERU NATIONAL PARK,279,3,60,143,55,6,,,12,,
Male,210,2,39,116,42,4,,,7,,
Female,69,1,21,27,13,2,,,5,,
MT. KENYA FOREST,357,8,263,60,16,5,,,2,3,
Male,313,7,233,51,15,3,,,1,3,
Female,44,1,30,9,1,2,,,1,,
THARAKA-NITHI,"324,735","17,844","177,102","73,308","21,353","9,390",189,,"23,604","1,451",494
Male,"162,637","9,107","88,717","36,060","10,032","5,477",101,,"12,105",752,286
Female,"162,093","8,737","88,382","37,246","11,321","3,913",88,,"11,499",699,208
IGAMBANG'OMBE,"43,160","2,591","26,478","7,407","1,955",650,17,,"3,615",329,118
Male,"21,790","1,291","13,385","3,647",933,413,9,,"1,882",167,63
Female,"21,369","1,300","13,092","3,760","1,022",237,8,,"1,733",162,55
MAARA,"100,251","4,167","52,976","26,528","7,482","2,837",15,,"5,775",361,110
Male,"50,814","2,092","27,244","13,082","3,523","1,583",9,,"3,015",192,74
Female,"49,437","2,075","25,732","13,446","3,959","1,254",6,,"2,760",169,36
MERU SOUTH,"78,987","3,487","37,620","21,957","6,824","3,917",15,,"4,671",386,110
Male,"39,388","1,820","19,047","10,561","3,133","2,225",9,,"2,329",207,57
Female,"39,597","1,667","18,573","11,394","3,691","1,692",6,,"2,342",179,53
THARAKA NORTH,"42,198","3,734","24,901","6,853","1,721",642,109,,"3,936",197,105
Male,"21,044","1,918","12,184","3,528",839,404,59,,"1,942",109,61
Female,"21,153","1,816","12,716","3,325",882,238,50,,"1,994",88,44
THARAKA SOUTH,"59,985","3,864","35,103","10,456","3,359","1,341",33,,"5,600",178,51
Male,"29,530","1,986","16,843","5,199","1,595",851,15,,"2,933",77,31
Female,"30,454","1,878","18,259","5,257","1,764",490,18,,"2,667",101,20
MT. KENYA FOREST,154,1,24,107,12,3,,,7,,
Male,71,,14,43,9,1,,,4,,
Female,83,1,10,64,3,2,,,3,,
EMBU,"517,269","27,621","273,675","131,788","36,627","13,859",167,2,"31,690","1,496",344
Male,"262,672","14,254","140,996","65,267","17,115","7,882",87,1,"16,086",793,191
Female,"254,578","13,367","132,672","66,513","19,512","5,976",80,1,"15,601",703,153
EMBU EAST,"111,127","5,467","59,064","30,222","7,622","2,414",32,,"5,945",292,69
Male,"56,420","2,848","30,379","14,932","3,596","1,366",15,,"3,093",149,42
Female,"54,705","2,619","28,684","15,290","4,026","1,048",17,,"2,851",143,27
EMBU NORTH,"68,261","4,476","33,305","19,981","4,981","1,550",22,2,"3,789",134,21
Male,"34,819","2,383","17,220","9,871","2,429",875,13,1,"1,947",69,11
Female,"33,441","2,093","16,085","10,109","2,552",675,9,1,"1,842",65,10
EMBU WEST,"109,340","4,602","47,120","32,365","12,601","5,862",17,,"6,267",426,80
Male,"54,284","2,370","24,276","15,512","5,482","3,229",8,,"3,138",226,43
Female,"55,047","2,232","22,841","16,848","7,119","2,632",9,,"3,129",200,37
MBEERE SOUTH,"138,377","8,008","80,333","31,044","6,810","2,352",72,,"9,197",436,125
Male,"71,777","4,161","41,872","15,926","3,430","1,402",35,,"4,638",241,72
Female,"66,595","3,847","38,458","15,117","3,380",950,37,,"4,558",195,53
MBEERE NORTH,"90,143","5,068","53,851","18,164","4,607","1,680",24,,"6,492",208,49
Male,"45,354","2,492","27,247","9,016","2,173","1,009",16,,"3,270",108,23
Female,"44,787","2,576","26,604","9,147","2,434",671,8,,"3,221",100,26
MT. KENYA FOREST,21,,2,12,6,1,,,,,
Male,18,,2,10,5,1,,,,,
